id, name, difficulty,time  ranking,space ranking
1, Two Sum,1,99.79,
2, Add Two Numbers,2,45.87,
3, Longest Substring Without Repeating Characters,2,95.77,
4,Median of Two Sorted Arrays,3,92.18,92.8
5,Longest Palindromic Substring,2,83.74,75.27
6,ZigZag Conversion,2,79.1,77.58
8,String to Integer (atoi),2,48.7,82.41
11,Container With Most Water,2,69.38,59.1
12,Integer to Roman,2,13.99,9.29
13,Roman to Integer,1,82.51,72.09
15,3Sum,2,WA,WA
17,Letter Combinations of a Phone Number,2,62.37,98.57
19,Remove Nth Node From End of List,2,100,76.32
22,Generate Parentheses,2,56.32,76.86
24,Swap Nodes in Pairs,2,100,48.21
29,Divide Two Integers,2,100,72
31,Next Permutation,2,75.18,100
33,Search in Rotated Sorted Array,2,79.27,79.52
34,Find First and Last Position of Element in Sorted Array,2,100,59.34
36,Valid Sudoku,2,98.23,97.44
39,Combination Sum,2,24.96,37.5
40,Combination Sum II,2,14.03,5.26
43,Multiply Strings,2,17.11,12.82
46,Permutations,2,18.66,5.97
47,Permutations II,2,5.02,7.14
48,Rotate Image,2,100,73.17
49,Group Anagrams,2,59.5,59.7
50,"Pow(x, n)",2,59.38,42.86
54,Spiral Matrix,2,100,100
55,Jump Game,2,71.55,100
56,Merge Intervals,2,33.32,30.23
59,Spiral Matrix II,2,100,100
60,Permutation Sequence,2,66.38,100
61,Rotate List,2,98.82,78.57
62,Unique Paths,2,55.07,79.69
64,Minimum Path Sum,2,99.34,
71,Simplify Path,2,75.34,
73,Set Matrix Zeroes,2,8.58,70.37
74,Search a 2D Matrix,2,93.77,93.94
455,Assign Cookies,1,89.2,76.21
563,Binary Tree Tilt,1,60.48,9.92
966,Vowel Spellchecker,2,91.48,17.24
